screen_names,texts
Sofamansillaeco,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
IribarrenJuanma,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
springgukke,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
FloEcheverria,Pero Luis si sacamos de la rural del prado 🥴 https://t.co/NDcGDNO67x
AugustoBriaan,"@Vicky____ @afariasdiaz @Frente_Amplio Señora tómese un Té. Nunca compare, jamas lo hice, dije que si vamos hablar… https://t.co/j3cFrY3GtA"
NORAFARALL,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Andrea21UY,"RT @aleferreirauy: Si luego de la marcha, la rural del prado y esta instancia de votación no morimos todos habría que declarar que el covid…"
danballejo,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
maite_lanza_12,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
MarisuBouzas1,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
oriental_un,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
KmiiAmarillo,No quiero leer gente indignada con la marcha ESCONDIÉNDOSE ATRÁS DE LA PANDEMIA cuando no he visto sus historias in… https://t.co/LeIf4P2cQB
aleferreirauy,"Si luego de la marcha, la rural del prado y esta instancia de votación no morimos todos habría que declarar que el… https://t.co/FUZD98SFc2"
RomuloMChenlo,"RT @MauroMego: Es importante que más allá de lo que haya dicho el Presidente, es tan irresponsable eso como los que viajamos en ómnibus ate…"
flasuava,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
Carolin33620700,"RT @MarinaSL31: @DrDanielSalinas Sobre la Rural del Prado, donde la intendencia tuvo q multar varias veces por no cumplimiento del protocol…"
MarisuBouzas1,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
EdithLu40763291,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
pedrolarok,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
lorenaa836,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
MauroMego,"Es importante que más allá de lo que haya dicho el Presidente, es tan irresponsable eso como los que viajamos en óm… https://t.co/iyok9tBygj"
Gimena_Correa,"RT @LuisEsMiSombra: Bo, mucho indignado por ahí con la marcha de la diversidad y el peligro de propagar el covid-19 pero pocas ganas de ind…"
MargaritaLotit2,"RT @cora_mirta: @gera_nunez1001 Acá, el único hipócrita sos vos !! La rural del Prado, se hizo con aforo limitado, y todo el mundo de tapab…"
MargaritaLotit2,RT @JuanDie35093114: @gera_nunez1001 Me da vergüenza que en nuestro país tengamos diputados que digan este tipo de cosas. No sabes que en l…
tamsilvera,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
inesgardil,RT @isastiguada: ¿Por qué siempre que hacen algo mal lo justifican con otras cosas que estuvieron mal? Se hicieron mal las cosas y punto. L…
Graciel34500276,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
santiag88103885,@JaviPiVe @MaineFariello @flopereira17 Y la rural del prado?
cora_mirta,"@gera_nunez1001 Acá, el único hipócrita sos vos !! La rural del Prado, se hizo con aforo limitado, y todo el mundo… https://t.co/95jlOMJ0QA"
Reggi_digiorno2,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
silviaravela,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
_rominaferreyra,"Que cantidad de quejas al respecto de la marcha por la diversidad por la aglomeración de gente, en la cual estoy to… https://t.co/bl2qXKv9xZ"
isa_bellaa1,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Emily84141062,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
FlChury,@PabloCanteiro q me decís de la rural del prado con 15 mil personas? De los ómnibus llenos de bote a bote ? De q ho… https://t.co/mtV58h5VGS
carlo_abbiati,"@LuisLacallePou , usted es un demagogo y un tribunero .
Shopping's , ómnibus , rural del prado y otros etc en los q… https://t.co/4eHIZ6pn5W"
LolyEsmo,"RT @marujilandia: @gera_nunez1001 comparas la rural del prado, donde en todo se tomo medidas sanitarias y muchos fueron a laburar, con esta…"
Mabel546,"RT @StellaValverde: @Subrayado Ni que hablar por tres cruces, la rural del prado, los ómnibus hasta la manija, los cuadros de fútbol que va…"
Manya09270302,Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignars… https://t.co/Zumg7Pvt6W
sebent60,En serio se molestan por la carta del gordo verde? Que esperan de un rugbier cura?Obvio que esta a la derecha de la… https://t.co/7xd6d7DhJr
agusmsosa,Acabo de ver todas las fotos que encontré de la rural del prado en Instagram solo para confirmar una cosa: hay que… https://t.co/nyGlbtG8xU
dianamoserr,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
tami_chann,"Está bueno que se haga cargo de lo que pasó en la Rural del Prado, humilde Lacalle 👏🏻👏🏻👏🏻👏🏻 https://t.co/0FCQYCi9ma"
F_Martinez_P,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
mriera65,"RT @StellaValverde: @Subrayado Ni que hablar por tres cruces, la rural del prado, los ómnibus hasta la manija, los cuadros de fútbol que va…"
