Id,Label,timeset,afinidad,modularity_class,pageranks,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
868497385579786240,Marcelo22877648,,,5,0.000126,1,1,2,7,0.246954,0.258765,0,0.001437,0.002241,0,2,0,0.00228
2240821826,AntoRuiz1998,,,5,0.000257,3,2,5,7,0.253,0.264828,0.000216,0.000043,0.002246,0,2,0,0.000494
1210245759305682944,AltieriDario,,,3,0.00066,35,84,119,6,0.36395,0.426565,0.000908,0.038616,0.088363,0,2,0.259022,0.172595
205843378,nbortolotto,,,5,0.000162,3,8,11,7,0.329169,0.361837,0.000002,0.003293,0.007549,0,2,0.678571,0.030024
1072937724724822016,FlaviaLpez12,,,9,0.000378,3,7,10,7,0.283638,0.300651,0.000109,0.000232,0.002852,0,2,0.309524,0.001381
1118647825506668416,luliferrin,,,5,0.000123,0,1,1,7,0.246899,0.258709,0,0,0.002241,0,10,0,0
2642429446,alvezpat,,,3,0.000796,30,35,65,6,0.346939,0.393042,0.000507,0.03809,0.046877,0,2,0.434959,0.178621
1173437389722836992,namariarussi8,,,3,0.000401,16,21,37,7,0.327126,0.371747,0.000061,0.019863,0.041996,0,2,0.414943,0.082414
334305508,Andy_Baliero,,,0,0.000355,1,2,3,7,0.247075,0.259411,0.000706,0,0.002242,0,11,0,0.000057
1273297591393029888,NataliToro4,,,5,0.000156,1,3,4,7,0.29343,0.319732,0,0.001212,0.004034,0,2,0.833333,0.014982
1227401878260068352,RominaPesce5,,,3,0.004718,215,182,397,6,0.391095,0.486322,0.054949,0.15787,0.124258,0,2,0.110863,0.597451
361371672,Yula1101,,,5,0.000123,0,2,2,7,0.25167,0.265455,0,0,0.002282,0,12,0.5,0
928398009225932800,Bettifati,,,5,0.000123,0,2,2,7,0.248177,0.261316,0,0,0.005554,0,13,0,0
1925510893,Vanealonso15,,,5,0.000123,0,1,1,7,0.246899,0.258709,0,0,0.002241,0,14,0,0
972227155,JuliaFormoso,,,4,0.000141,1,4,5,7,0.264094,0.282125,0.000001,0.000586,0.005204,0,2,0.333333,0.000849
1308778152,variserra,,,5,0.000138,1,1,2,7,0.246896,0.258717,0,0.000903,0.002241,0,2,0.5,0.009913
1529491694,PureHeroine95,,,5,0.000186,4,1,5,7,0.246896,0.258717,0,0.003439,0.002241,0,2,0.45,0.033665
